Date,18-29,30-49,50-64,65+
3/31/00,1,1,,0
3/1/01,7,8,5,1
9/10/01,9,9,6,1
9/19/01,10,9,7,1
10/1/01,8,8,5,
10/7/01,8,9,4,1
10/18/01,10,9,7,2
11/18/01,10,10,5,2
12/23/01,12,11,5,2
1/31/02,14,10,7,1
5/19/02,14,13,9,2
7/26/02,12,14,9,3
10/6/02,18,19,13,2
10/27/02,19,17,7,1
11/24/02,22,18,11,2
12/22/02,17,14,11,3
3/24/03,22,20,12,2
3/25/03,23,20,13,3
5/20/03,20,19,16,4
6/24/03,24,19,15,3
8/3/03,25,21,14,3
12/14/03,28,25,14,4
3/1/04,34,28,22,5
3/17/04,33,31,23,7
6/17/04,27,30,20,7
7/3/04,32,31,24,7
11/22/04,36,32,23,7
2/9/05,37,35,27,9
3/21/05,38,37,26,7
6/7/05,44,39,32,7
12/8/05,46,45,34,11
12/31/05,46,43,34,11
2/6/06,51,48,40,13
3/28/06,54,47,45,13
4/6/06,55,51,38,14
8/31/06,52,54,41,14
12/4/06,61,54,41,16
12/30/06,58,55,40,15
9/5/07,66,60,50,17
1/13/08,64,63,47,21
5/11/08,69,68,49,19
8/10/08,70,67,55,27
8/31/08,73,68,52,24
12/4/08,72,68,51,24
12/20/08,67,63,52,26
4/19/09,74,71,60,30
6/21/09,74,75,58,31
9/14/09,78,69,61,29
12/27/09,77,67,56,25
1/19/10,79,70,57,27
5/30/10,76,74,62,30
9/13/10,78,68,56,27
11/24/10,75,71,58,27
12/21/10,71,71,63,33
5/22/11,72,72,57,28
8/26/11,76,70,60,30
2/19/12,72,74,65,35
4/3/12,75,77,62,39
11/10/12,76,78,66,41
12/9/12,75,74,62,41
5/19/13,80,78,69,43
9/30/13,81,77,68,47
4/12/15,75,73,66,40
7/12/15,75,76,62,48
11/15/15,75,74,67,47
4/4/16,80,78,66,49
11/6/16,77,81,75,51
1/10/18,67,70,68,50
2/7/19,77,77,79,59
2/8/21,70,86,79,64