Date,"Less than $30,000","$30,000-$49,999","$50,000-$74,999","$75,000+"
3/31/00,0,0,1,2
9/10/01,2,4,8,20
9/19/01,3,8,10,16
10/1/01,2,5,8,14
10/7/01,3,4,,
10/18/01,4,5,10,19
11/18/01,4,7,11,18
12/23/01,4,7,10,23
1/31/02,4,6,11,22
5/19/02,5,8,13,25
7/26/02,4,10,14,23
10/6/02,6,11,26,32
10/27/02,7,10,12,26
11/24/02,7,13,16,34
12/22/02,5,12,16,27
3/24/03,7,11,22,32
3/25/03,7,11,22,33
5/20/03,7,14,25,30
6/24/03,7,14,21,37
8/3/03,8,14,22,38
12/14/03,9,16,25,42
3/1/04,10,23,36,46
3/17/04,13,25,27,49
6/17/04,12,18,31,48
7/3/04,12,19,35,48
11/22/04,13,25,34,54
11/30/04,12,24,37,50
2/9/05,15,27,32,58
3/21/05,15,27,38,56
6/7/05,18,29,44,63
12/8/05,21,30,46,64
12/31/05,17,30,52,63
2/6/06,22,32,51,67
3/28/06,29,40,52,69
4/6/06,22,44,49,68
8/31/06,22,39,56,74
12/4/06,26,44,50,77
12/30/06,24,46,61,73
12/2/07,40,52,69,78
1/13/08,28,51,61,77
5/11/08,31,53,67,82
8/10/08,38,59,68,79
8/31/08,36,53,71,83
12/4/08,31,61,73,85
12/20/08,33,57,69,83
4/19/09,39,61,79,85
6/21/09,45,53,83,87
9/14/09,42,66,82,88
12/27/09,41,62,78,83
1/19/10,45,61,74,87
5/30/10,42,65,79,87
9/13/10,40,64,80,88
11/24/10,42,66,75,89
12/21/10,41,65,81,88
5/22/11,40,70,79,88
8/26/11,41,65,81,89
1/8/12,47,67,81,88
2/19/12,45,64,82,91
4/3/12,46,68,85,87
11/10/12,47,71,83,90
12/9/12,46,69,79,89
5/19/13,54,70,84,88
9/30/13,52,71,85,91
4/12/15,44,72,83,90
7/12/15,47,64,78,89
11/15/15,45,68,81,88
4/4/16,49,73,80,91
11/6/16,53,71,83,93
1/10/18,45,67,79,87
2/7/19,56,72,87,92
2/8/21,57,74,87,92