Date,White,Black,Hispanic
3/31/00,1,1,
9/10/01,8,3,
9/19/01,7,6,
10/1/01,6,3,
10/7/01,7,0,
10/18/01,8,5,
12/23/01,9,5,
1/31/02,9,5,
5/19/02,11,6,
7/26/02,11,6,
10/6/02,14,12,
10/27/02,13,7,
11/24/02,15,11,
12/22/02,13,4,
3/24/03,16,7,
3/25/03,17,7,
5/20/03,17,8,
6/24/03,18,9,
8/3/03,18,12,
12/14/03,20,12,
3/1/04,25,13,
3/17/04,25,20,
6/17/04,25,10,
7/3/04,26,14,
11/22/04,27,16,
11/30/04,28,,
2/9/05,32,13,
3/21/05,30,14,
6/7/05,34,18,
12/8/05,39,24,
12/31/05,38,22,
2/6/06,42,24,
3/28/06,40,35,
4/6/06,43,32,
8/31/06,44,34,
12/4/06,48,33,
12/30/06,45,37,
9/5/07,51,42,
12/2/07,56,38,
1/13/08,53,41,
5/11/08,56,41,
8/10/08,57,48,
8/31/08,57,46,
12/4/08,59,39,
12/20/08,59,43,
4/19/09,64,43,
6/21/09,65,,
9/14/09,68,51,
12/27/09,63,50,
1/19/10,63,49,
5/30/10,66,54,
9/13/10,64,50,49
11/24/10,65,49,43
12/21/10,66,51,49
5/22/11,65,49,46
8/26/11,66,49,51
1/8/12,67,60,
2/19/12,69,57,44
4/3/12,70,54,51
11/10/12,72,60,47
12/9/12,70,53,49
5/19/13,74,64,53
9/30/13,74,62,56
4/12/15,70,52,50
7/12/15,71,56,53
11/15/15,73,55,47
4/4/16,75,66,47
11/6/16,78,65,58
1/18/18,72,57,47
2/7/19,79,66,61
2/8/21,80,71,65